Port Number,Service Name,Transport Protocol,Description,Source
62981,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62982,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62985,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62992,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63012,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63027,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63028,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63029,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63030,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63031,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63032,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63033,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63034,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63035,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63036,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63041,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63075,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63079,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63082,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63088,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
63094,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
65443,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
