Port Number,Service Name,Transport Protocol,Description,Source,System Type
5579,fdtracks,"tcp, udp",FleetDisplay Tracking Service,IANA,IT
5580,tmosms0,"tcp, udp",T-Mobile SMS Protocol Message 0,IANA,IT
5581,tmosms1,"tcp, udp",T-Mobile SMS Protocol Message 1,IANA,IT
5582,fac-restore,"tcp, udp",T-Mobile SMS Protocol Message 3,IANA,IT
5583,tmo-icon-sync,"tcp, udp",T-Mobile SMS Protocol Message 2,IANA,IT
5584,bis-web,"tcp, udp",BeInSync-Web,IANA,IT
5585,bis-sync,"tcp, udp",BeInSync-sync,IANA,IT
5586,att-mt-sms,"tcp, udp",Planning to send mobile terminated SMS to the specific port so that the SMS is not visible to the client,IANA,IT
5597,ininmessaging,"tcp, udp",inin secure messaging,IANA,IT
5598,mctfeed,"tcp, udp",MCT Market Data Feed,IANA,IT
5599,esinstall,"tcp, udp",Enterprise Security Remote Install,IANA,IT
5600,esmmanager,"tcp, udp",Enterprise Security Manager,IANA,IT
5601,esmagent,"tcp, udp",Enterprise Security Agent,IANA,IT
5602,a1-msc,"tcp, udp",A1-MSC,IANA,IT
5603,a1-bs,"tcp, udp",A1-BS,IANA,IT
5604,a3-sdunode,"tcp, udp",A3-SDUNode,IANA,IT
5605,a4-sdunode,"tcp, udp",A4-SDUNode,IANA,IT
5618,efr,"tcp, udp",Fiscal Registering Protocol,IANA,IT
5627,ninaf,"tcp, udp",Node Initiated Network Association Forma,IANA,IT
5628,htrust,"tcp, udp",HTrust API,IANA,IT
5629,symantec-sfdb,"tcp, udp",Symantec Storage Foundation for Database,IANA,IT
5630,precise-comm,"tcp, udp",PreciseCommunication,IANA,IT
5631,pcanywheredata,"tcp, udp",pcANYWHEREdata,IANA,IT
5632,pcanywherestat,"tcp, udp",pcANYWHEREstat,IANA,IT
5633,beorl,"tcp, udp",BE Operations Request Listener,IANA,IT
5634,xprtld,"tcp, udp",SF Message Service,IANA,IT
5635,sfmsso,"tcp, udp",SFM Authentication Subsystem,IANA,IT
5636,sfm-db-server,"tcp, udp",SFMdb - SFM DB server,IANA,IT
5637,cssc,"tcp, udp",Symantec CSSC,IANA,IT
5638,flcrs,"tcp, udp",Symantec Fingerprint Lookup and Container Reference Service,IANA,IT
5639,ics,"tcp, udp",Symantec Integrity Checking Service,IANA,IT
5646,vfmobile,"tcp, udp",Ventureforth Mobile,IANA,IT
5666,nrpe,"tcp, udp",Nagios Remote Plugin Executor,IANA,IT
5670,"filemq, zre-disc","tcp, udp","Local area discovery and messaging over ZeroMQ, ZeroMQ file publish-subscribe protocol",IANA,IT
5671,amqps,"tcp, udp",amqp protocol over TLS/SSL,IANA,IT
5672,amqp,"sctp, tcp, udp",AMQP,IANA,IT
5673,jms,"tcp, udp",JACL Message Server,IANA,IT
5674,hyperscsi-port,"tcp, udp",HyperSCSI Port,IANA,IT
5675,v5ua,"sctp, tcp, udp",V5UA application port,IANA,IT
5676,raadmin,"tcp, udp",RA Administration,IANA,IT
5677,questdb2-lnchr,"tcp, udp",Quest Central DB2 Launchr,IANA,IT
5678,rrac,"tcp, udp",Remote Replication Agent Connection,IANA,IT
5679,dccm,"tcp, udp",Direct Cable Connect Manager,IANA,IT
5680,auriga-router,"tcp, udp",Auriga Router Service,IANA,IT
5681,ncxcp,"tcp, udp",Net-coneX Control Protocol,IANA,IT
5682,brightcore,"tcp, udp",BrightCore control & data transfer exchange,IANA,IT
5683,coap,"tcp, udp","Constrained Application Protocol (CoAP), Constrained Application Protocol",IANA,IT
5684,coaps,"tcp, udp","Constrained Application Protocol (CoAP), DTLS-secured CoAP",IANA,IT
